USERNAME,FULLNAME,email,DEPARTMENT,RoleRights
cscaosorpol,ALFREDO OSORNIO POLO,alfredo.osornio@dummybimbo.com,servicios de facturacion,
cscaflorcha,ALMA YADIRA FLORES CHAVEZ,alma.flores@dummybimbo.com,credito y cobranzas,
alma.colin,Alma Yazmin Colin,alma.colin@gupobimbo.com,proyectos,
alugopen,Ana Belem Lugo Peña,ana.lugo@dummybimbo.com,compras,
azavaort,ana gabriela zavala ortega,,activo fijo,
cscaespicru,ANA KAREN ESPINOSA CRUZ,ana.espinosa@dummybimbo.com,nominas nacional,
laura.garciabadillo,Ana Laura Garcia Badillo,,activo fijo,
ana.l.lopez,ana laura lopez rodriguez,ana.l.lopez@dummybimbo.com,conciliaciones,
asilvher,ANA LAURA SILVA HERNANDEZ,ana.silva@dummybimbo.com,fiscal,
ana.anguiano,Ana Victoria Anguiano Hilerio,ana.anguiano@dummybimbo.com,activo fijo,
adomicam,ANAISS DOMINGUEZ CAMPA,anaiss.dominguez@dummybimbo.com,nominas nacional,
cscaartemen,ANAYELI ARTEAGA MENDEZ,anayeli.arteaga@dummybimbo.com,credito y cobranzas,
angel.espinosa,Angel Espinosa Velazquez,angel.espinosa@dummybimbo.com,fiscal,
abarrcel,ANGEL GUILLERMO BARREDA CELIS,angel.barreda@dummybimbo.com,servicio al cliente,
livanh.sanchez,Angel Livanh Sanchez Jimenez,livanh.sanchez@dummybimbo.com,credito y cobranzas,
antonio.parra02,Antonio Parra Chavez,antonio.parra02@dummybimbo.com,credito y cobranzas,
araceli.oregon,Araceli Oregon Garcia,araceli.oregon@dummybimbo.com,tesoreria,
cscaperabec,ARACELI PERALTA BECERRIL,araceli.peralta@dummybimbo.com,credito y cobranzas,
ariadna.perez,ARIADNA PEREZ PEREZ,ariadna.perez@dummybimbo.com,conciliaciones,
aortiflo,ARISTEO ORTIZ FLORES,aristeo.ortiz@dummybimbo.com,nominas nacional,
cscaelizveg,ARMANDO ELIZALDE VEGA,armando.elizalde@dummybimbo.com,conciliaciones,
cscamanzgon,ARMANDO MANZO GONZALEZ,armando.manzo@dummybimbo.com,servicios de facturacion,
augusto.talavera,Augusto Talavera,augusto.talavera@dummybimbo.com,sistemas,
bislacas,Bárbara Islas Castañeda,barbara.islas@dummybimbo.com,credito y cobranzas,
cscbrosaavi,BERENICE ROSAS AVILES,berenice.rosas@dummybimbo.com,tesoreria,
cscbcarmbe,BLANCA ESTELA CARMONA BENITEZ,blanca.carmona@dummybimbo.com,nominas nacional,
bbuenmar,Brenda Buenrostro Martinez,brenda.buenrostro@dummybimbo.com,nominas nacional,
brenda.gonzalez,Brenda Gonzalez Hernandez,brenda.gonzalez@dummybimbo.com,nominas nacional,
brenda.carrillo,Brenda Ivonne Carrillo Lopez,brenda.carrillo@dummybimbo.com,nominas nacional,
brenda.martinez,Brenda Martinez Zetina,brenda.martinez@dummybimbo.com,conciliaciones,
bruno.ruiz,Bruno Axel Ruiz Garcia,bruno.ruiz@dummybimbo.com,nominas nacional,
carlos.a.garduno,Carlos Alberto Garduno Lopez,carlos.a.garduno@dummybimbo.com,servicios de facturacion,
carlos.prado,Carlos Alberto Prado Ramos,carlos.prado@dummybimbo.com,credito y cobranzas,
carlos.rojas07,Carlos Alberto Rojas Mayo,carlos.rojas07@dummybimbo.com,fiscal,
carlos.delaogalvan,Carlos de la O Galvan,carlos.delaogalvan@dummybimbo.com,compras,
csccdiazarr,CARLOS ERNESTO DIAZ TORRE ARREOLA,carlos.diaz03@dummybimbo.com,direccion general,
csccgonzala,CARLOS GONZALEZ ALANIS,carlos.gonzalez03@dummybimbo.com,fabrica de procesos,
cmorapon,CARLOS IVAN MORANCHEL PONCE,,activo fijo,
seguratz,Caseta Vigilancia 2,obmexbm.azcapotzalcoseguridadbm@dummybimbo.com,servicios,
celia.diaztorres,Celia Itzel Diaz Torres,celia.diaztorres@dummybimbo.com,credito y cobranzas,
celia.vazquez,Celia Marcela Vazquez De la Cruz,celia.vazquez@dummybimbo.com,servicios de facturacion,
csolabec1,CESAR ALBERTO SOLANO BECERRA,,credito y cobranzas,
christian.angel,Christian Andres Angel Garcia,christian.angel@dummybimbo.com,activo fijo,
christian.lopez01,Christian Merced Lopez Blas,christian.lopez01@dummybimbo.com,fiscal,
christian.plascencia,Christian Ricardo Plascencia Hernandez,christian.plascencia@dummybimbo.com,fabrica de procesos,
christopher.oliva,Christoper Oliva Roque,christopher.oliva@dummybimbo.com,credito y cobranzas,
cinthia.e.hernandez,Cinthia Hernandez Hernandez,cinthia.e.hernandez@dummybimbo.com,servicios,
crodrarr,Cipriano Rodriguez Arrioja,cipriano.rodriguez@dummybimbo.com,servicios de facturacion,
citlali.angeles,Citlali Angeles Aviña,citlali.angeles@dummybimbo.com,fiscal,
claudia.escalante,Claudia Escalante Galvan,claudia.escalante@dummybimbo.com,servicios de facturacion,
csccgrandom,CLAUDIA GRANADOS DOMINGUEZ,claudia.granados@dummybimbo.com,conciliaciones,
csccdiazjim,CLAUDIA ISABEL DIAZ JIMENEZ,claudia.diaz02@dummybimbo.com,catalogos sia,
csccespisan,CLAUDIA ISABEL ESPINOSA SANCHEZ,claudia.espinosa@dummybimbo.com,cuentas por pagar,
cgonzale02,clemente gonzalez,clemente.gonzalez@dummybimbo.com,nominas nacional,
cristhian.hernandez1,Cristhian Hernandez Rosas,cristhian.hernandez1@dummybimbo.com,compras,
cristian.pascual,Cristian Pascual Aguilar,cristian.pascual@dummybimbo.com,nominas nacional,
cristian.tovar,cristian rene tovar garcia,cristian.tovar@dummybimbo.com,nominas nacionales,
csccescamon,CRISTIAN SINAI ESCALONA MONDRAGON,cristian.escalona@dummybimbo.com,nominas nacional,
cristopher.perez,Cristopher Ulises Perez,cristopher.perez@dummybimbo.com,gestion corporativa,
cjaimtov,Cuauhtemoc Carlos JaimeTovar,cuauhtemoc.jaime@dummybimbo.com,credito y cobranzas,
cynthia.barranco,Cynthia Maria Barranco  Espinosa,,cred y cobranzas csc,
cscdmendram,DALIA IRACEMA MENDIOLA RAMIREZ,dalia.mendiola@dummybimbo.com,tesoreria,
cscdvazqher,DALIA VAZQUEZ HERNANDEZ,dalia.vazquez@dummybimbo.com,fiscal,
damaris.alejandro,damaris alejandro alarcon,,cuentas por pagar,
cscdnunegon,Damaris Nunez Gonzalez,damaris.nunez@dummybimbo.com,catalogos sia,
cscdnavagua,DANIEL ALBERTO NAVA GUARNEROS,daniel.nava@dummybimbo.com,credito y cobranzas,
dmoliherm,Daniel Molina Hermenegildo,,centro de servicios compartidos,
daniela.vazquez,Daniel Montserat Vazquez Garcia,daniela.vazquez@dummybimbo.com,contact center,
dnietgar,daniel nieto,,credito y cobranzas,
cscdramirui,DANIEL RAMIREZ RUIZ,daniel.ramirez02@dummybimbo.com,servicio al cliente,
daniel.toledano,Daniel Toledano Gil,,conciliaciones,
daniela.saenz,Daniela Saenz Murguia,daniela.saenz@dummybimbo.com,servicios,
dsaldvil,Daniela Saldivar Villaseñor,,nominas nacional,
david.avilamaqueda,David Avila Maqueda,,nominas nacional,
david.jacome01,david jacome,,fiscal,
daysy.escobedo,Daysy escbedo Salcedo,,activo fijo,
cscdgarcbus,DIANA GARCIA BUSTAMANTE,diana.garcia01@dummybimbo.com,credito y cobranzas,
cscdillamor,DIANA ILLARRAMENDI MORENO,diana.illarramendi@dummybimbo.com,conciliaciones,
diana.rosas,Diana Karina Rosas Escalona,diana.rosas@dummybimbo.com,conciliaciones,
diana.navarrete,Diana Patricia Navarrete Uribe,diana.navarrete@dummybimbo.com,activo fijo,
cscdlazalop,Dione Lazaro Lopez,dione.lazaro@dummybimbo.com,nominas nacional,
dora.osorio,Dora Ivette Osorio Salazar,dora.osorio@dummybimbo.com,compras,
dulce.vale,Dulce Geeyla Vale Beaz,dulce.vale@dummybimbo.com,nominas nacional,
dulce.l.hernandez,Dulce Liliana Hernandez Sagahon,,fiscal,
edgar.plascencia,Edgar Plascencia Ramos,edgar.placencia@dummybimbo.com,credito y cobranzas,
edith.garciafuentes,Edith Garcia Fuentes,edith.garciafuentes@dummybimbo.com,nominas nacional,
cscelozadon,EDSON LOZANO DONLUCAS,edson.lozano@dummybimbo.com,tesoreria,
eduardo.desantos,Eduardo de santos Aguilar,,fiscal,
csceloperui,Eduardo Lopez Ruiz,eduardo.lopez@dummybimbo.com,cuentas por pagar,
cscemonrrui,Eduardo Monroy Ruiz,eduardo.monroy@dummybimbo.com,servicios de facturacion,
eduardo.mosqueda,Eduardo Mosqueda Sedano,eduardo mosqueda@dummybimbo.com,credito y cobranzas,
efren.hernandez,Efren Hernandez Hernandez,,fiscal,
cscejaimcop,EHEKATZIN MOISES JAIME COPADO,ehekatzin.jaime@dummybimbo.com,nominas nacional,
elena.reyes,Elena Fernanda Reyes Ramirez,,compras,
eliseo.pacheco,eliseo pacheco perez,,fiscal,
elizabeth.herrera01,Elizabeth Herrera Peña,,credito y cobranzas,
cscelealvid,ELIZABETH LEAL VIDAL,elizabeth.leal@dummybimbo.com,nominas nacional,
elizabeth.bahena,Elizabeth Monserrat Bahena,,compras,
cscepineboc,ELIZABETH PINEDA BOCANEGRA,elizabeth.pineda@dummybimbo.com,nominas nacional,
evargmel,ELVA ABIGAIL VARGAS MELLADO,,nominas nacional,
elvia.gonzalez,Elvia Gonzalez Moya,elvia.gonzalez@dummybimbo.com,activo fijo,
cscechavgar,EMILIO CHAVEZ GARCIA,emilio.chavez@dummybimbo.com,nominas nacional,
emilio.g.hernandez,Emilio Guillermo Hernandez Casares,,credito y cobranzas,
emmanuel.alvarez,Emmanuel Alvarez Acosta,,nominas nacional,
cscemoravel,EMMANUEL MORALES VELASCO,emmanuel.morales@dummybimbo.com,credito y cobranzas,
cscerosasil,ENRIQUE ROSAS SILVA,enrique.rosas@dummybimbo.com,nominas nacional,
cscelopegar,ERASTO LOPEZ GARCIA,erasto.lopez@dummybimbo.com,credito y cobranzas,
erick.marroquin,Erick Jovani Marroquin Lopez,,fiscal,
erick.pacheco,Erick Pacheco Galindo,,nominas nacional,
cscearrorey,ERIKA ARROYO REYES,erika.arroyo@dummybimbo.com,nominas nacional,
erika.garcia01,Erika Garcia Castillo,erika.garcia01@dummybimbo.com,fiscal,
evalegon,ESLY VALENCIA GONZALEZ,,tesoreria,
cscerivemar,ESMERALDA RIVERA MARTINEZ,esmeralda.rivera@dummybimbo.com,nominas nacional,
cscesantmat,ESMERALDA SANTOS MATEO,esmeralda.santos@dummybimbo.com,bimbo 21,
erodrros,Estefani Rodriguez Rosas,,nominas nacional,
estela.vazquez,Estela Vazquez Zepeda,,nominas nacionales,
egarcrey,ESTHER GARCIA REYES,,tesoreria,
emacibar,ESTHER SINAI MACIAS BARRAGAN,,credito y cobranzas,
csceherrtor,ETELVINA HERRERA TORREZ,,nominas nacional,
fabiola.hernandez03,Fabiola Hernandez Islas,,servicio al cliente,
folivgar,fabiola olivier garcia,,cuentas por pagar,
fpablabu,fabiola pablo aburto,,fiscal,
tpfzamorey,Felipe  de Jesus  Zamora Reyes,felipe.zamora@dummybimbo.com,compras,
cscfesqubon,FERNANDO ESQUIVEL BONILLA,fernando.esquivel@dummybimbo.com,conciliaciones,
flor.soriano,Flor Soriano  Santiago,flor.soriano@dummybimbo.com,servicios,
flor.vazquez,Flor Vazquez Lara,,catalogos sia,
francisco.meza01,Francisco Ehecatzin Meza Sanchez,francisco.meza01@dummybimbo.com,fiscal,
francisco.pena,Francisco Peña,,credito y cobranzas,
francisco.rangel,francisco rangel gutierrez,,activo fijo,
gabriel.o.huerta,Gabriel Omar Huerta Marban,garbriel.o.huerta@dummybimbo.com,credito y cobranzas,
cscgacoslop,GABRIELA ACOSTA LOPEZ,gabriela.acosta@dummybimbo.com,proyectos,
gabriela.calleja,Gabriela Calleja Correa,,nominas nacional,
cscgceromar,GABRIELA CERON MARTINEZ,gabriela.ceron@dummybimbo.com,nominas nacional,
gabriela.godinez,Gabriela Godinez Gaytan,gabriela.godinez@dummybimbo.com,compras,
cscgjosemar,GABRIELA JOSE MARTINEZ,gabriela.martinez06@dummybimbo.com,proyectos,
cscgzarafer,GABRIELA ZARAZUA FERRER,gabriela.zarazua@dummybimbo.com,activo fijo,
cscgpenagon,GERARDO PEÑA GONZALEZ,,activo fijo,
gwolbrob,GERARDO WOLBURG ROBLES,,credito y cobranzas,
gerardo.valle,Gerardo.valle,,credito y cobranzas,
cscgelguloz,GILBERTO ELGUEA LOZANO,gilberto.elguea@dummybimbo.com,servicios de facturacion,
guillermo.garcia02,Gillermo Garcia Cardenas,guillermo.garcia03@dummybimbo.com,activo fijo,
gsosa,gonzalo fabian sosa,,credito y cobranzas,
gfigucab,Griselda Figuroa Caera,grielda.figeroa@grupobimbmo.com,fiscal,
bcogbravcas,Guadalupe Bravo Castañeda,guadalupe.bravo@dummybimbo.com,gestion corporativa,
cscgtorrgom,GUADALUPE TORRES GOMEZ,guadalupe.torres02@dummybimbo.com,conciliaciones,
cscgrivacar,GUILLERMO ANDRES RIVAS CARRERA,guillermo.rivas@dummybimbo.com,activo fijo,
tpgcasaiba,Guillermo Casas Ibarra,guillermo.casas@dummybimbo.com,tesoreria,
guillermo.garcia03,Guillermo Garcia Cardenas,guillermo.garcia03@dummybimbo.com,nominas nacional,
ggarcram,Gustavo Fernando Garcia Ramos,,servicio al cliente,
hector.perezgomez,Hector Perez Gomez,hector.perezgomez@dummybimbo.com,fiscal,
cschfalcesl,HERIS VIANNEY FALCON ESLAVA,heris.falcon@dummybimbo.com,nominas nacional,
cschacosroj,HOMERO WULITH ACOSTA ROJAS,homero.acosta@dummybimbo.com,credito y cobranzas,
cschortigar,HUGO MIGUEL ORTIZ GARCIA,hugo.ortiz@dummybimbo.com,credito y cobranzas,
htobigon,humberto gabriel tobias gonzalez,,fiscal,bimbo 21
cschramicor,HUMBERTO RAMIREZ CORONA,hramicor@dummybimbo.com,activo fijo,
iaguapar,isaac rodrigo aguado paredes,,cuentas por pagar,
csciflortor,ISABEL FLORES DE LA TORRE,isabel.flores@dummybimbo.com,bimbo 21,
ijuraald,ISABEL JURADO ALDERETE,,nominas nacional,
csciescaest,ISELA ESCAMILLA ESTRADA,isela.escamilla@dummybimbo.com,credito y cobranzas,
cscijimehui,ISMAEL JIMENEZ HUITRON,ismael.jimenez@dummybimbo.com,fiscal,
israel.machorro,Israel Machorro Morales,,activo fijo,
cscjmartcor,JAIME  MARTINEZ CORNEJO,jaime.martinez@dummybimbo.com,servicios,
javier.solis01,Javier Solis Villarreal,,servicios de facturacion,
jvelaacu,JAVIER VELAZQUEZ ACUAHUTLA,,credito y cobranzas,
jretaher,Jean Omar Retaud Hernandez,,servicios,
jenifer.ramirez,Jenifer Eunice Ramirez Ramirez,jenifer.ramirez@dummybimbo.com,cuentas por pagar,
jeniffer.suarez,Jeniffer Alejandra Suares Morales,jeniffer.suarez@dummybimbo.com,activo fijo,
jhuertra,Jenny Ivone Huerta Ramirez,jenny.huerta@dummybimbo.com,activo fijo,
bsmjchavmen,Jessica Araceli Chavez Mendoza,jessica.chavez@dummybimbo.com,nominas nacional,
jsilvcar,JESSICA ITZEL SILVA CARDENAS,,credito y cobranzas,
jesus.j.ramirez,Jesus  Jhonatan Ramirez,jesus.j.ramirez@dummybimbo.com,credito y cobranzas,
jesus.morgado,Jesus Alejandro Morgado Ordoñez,,proyectos,
cscjlopeolm,JESUS RAUL LOPEZ OLMOS,raul.lopez@dummybimbo.com,fiscal,
jhonatan.sanchez,jhonatan Ivan Sanches Torres,,activo fijo,
cscjcortzam,JHUVANI ALEJANDRO CORTEZ ZAMORA,alejandro.cortez@dummybimbo.com,credito y cobranzas,
cscjhernmar1,JOANA JAMILET HERNANDEZ MARTINEZ,,credito y cobranzas,
cscjjuarbel,JOAQUIN IVAN JUAREZ BELTRAN,joaquin.juarez@dummybimbo.com,activo fijo,
jrodrolv,Jocelinne Rodriguez Olvera,,nominas nacional,
jhernoca,Joel Hernandez Ocampo,,credito y cobranzas,
jtorrner,Joel Torres Neria,,tesoreria,
jcastbau,JOHNATAN CASTELLANOS BAUTISTA,,cred y cobranzas csc,
cscjgarhern1,Jonhatan Armando Garcia Hernandez,,servicios de facturacion,
cscjacevcas,JORGE ACEVEDO CASTRO,jorge.acevedo@dummybimbo.com,nominas nacional,
cscjhernpal,Jorge Antonio Hernandez Palomino,,nominas nacional,
jorge.maldonado,Jorge Antonio Maldonado Perez,,fabrica de procesos,
jorge.vargas,Jorge Armando Vargas Fuentes,,activo fijo,
cscjbarrmir,JORGE BARRON MIRANDA,jorge.barron@dummybimbo.com,credito y cobranzas,
jorge.cortes,Jorge Cortes Lopez,jorge.cortes@dummybimbo.com,credito y cobranzas,
jelopetre,jorge emmanuel lopez trejo,,nominas nacional,
jorge.govantes,Jorge Govantes Lugo,,credito y cobranzas,
cscjmartram,JORGE MARTINEZ RAMIREZ,jorge.martinez@dummybimbo.com,bimbo 21,
cscjpereran,JORGE PEREZ RANGEL,,credito y cobranzas,
cscjramibas,JORGE RAMIREZ BASURTO,,tesoreria,
bmjcruzana,Josabeth Cruz Atanasio,josabeth.cruz@dummybimbo.com,gestion corporativa,
cscjmonrrey,JOSE  LUIS MONROY REYES,,fiscal,
cscjmejibar,JOSE AARON MEJIA BARRERA,,tesoreria,
cscjenguram,JOSE ANTONIO ENGUILO RAMOS,,fabrica de procesos,
tpjcuelmen,Jose Daniel Cuellar Mendoza,,activo fijo,
jhernesc,Jose de Jesus Hernandez,,cuentas por pagar,
jose.f.mendoza,Jose Fernando Mendoza Picon,,cred y cobranzas csc,
cscjdurazar,JOSE GABRIEL DURAN ZARATE,,nominas nacional,
jmeriber,Jose Gerardo Merino Beristain,jose.merino01@dummybimbo.com,conciliaciones,
cscjcruzsan,JOSE LUIS CRUZ SANCHEZ,joseluis.cruz@dummybimbo.com,cuentas por pagar,
cscjhernmar,JOSE LUIS HERNANDEZ MARTINEZ,,bimbo 21,
jose.l.martinez,Jose Luis Martinez Martinez,,credito y cobranzas,
cscjriossav,JOSE LUIS RIOS ZAVALA,,credito y cobranzas,
cscjcuevrom,JOSEFINA CUEVAS ROMERO,,nominas nacional,
jrodrcab,Juan Alejandro Rodriguez Cabrera,,cuentas por pagar,
jcorogom,Juan Carlos Coronel Gomez,,fiscal,
juan.lopezmartinez,Juan Carlos Lopez Martinez,juan.lopezmartinez@dummybimbo.com,credito y cobranzas,
juan.martinezluna,Juan Carlos Martinez luna,juan.martinezluna@dummybimbo.com,credito y cobranzas,
juan.monroy,Juan Carlos Monroy Rubio,,servicios de facturacion,
jochopin,Juan Carlos Ochoa Piña,carlos.ochoa@dummybimbo.com,cuentas por pagar,
cscjlopecal,JUAN EDUARDO LOPEZ CALZADA,juan.lopez06@dummybimbo.com,bimbo 21,
cscjvazqram,JUAN GABRIEL VAZQUEZ RAMIREZ,,nominas nacional,
jgonzala,JUAN GUILLERMO GONZALEZ ALANIS,,tesoreria,
cscjtorrmar,JUAN JESUS TORRES MARTINEZ,,servicios de facturacion,
tpjhernbad,Juan Manuel Hernandez Badillo,juan.hernandez03@dummybimbo.com,activo fijo,
jbarrpar,Juan Pablo Barron Paramo,,nominas nacional,
juan.perezromero,Juan Salvador Perez Romero,juan.perezromero@dummybimbo.com,gestion corporativa,
jlopelad,JUAN WILFRIDO LOPEZ LADRON DE GUEVARA,,servicios de facturacion,
cscjsalasan,JUANA SALAZAR SANCHEZ,,nominas nacional,
jmunotorr,Julieta Gabriela Muñoz Torres,julieta.munoz@dummybimbo.com,cuentas por pagar,
cscjbeniang,JULIO CESAR BENITEZ ANGELES,julio.benitez@dummybimbo.com,credito y cobranzas,
karen.basurto,Karen Yesenia Basurto Olmedo,,fiscal,
karina.angeles,Karina Angeles Maldonado,,nominas nacional,
csckreyegom,Karina Reyes Gomez,,nominas nacional,
ktronver,KARLA KARINA TRONCOSO VERA,,fiscal,
karla.l.vazquez,Karla Liliana Vazquez Ramirez,,servicios de facturacion,
csckpenaqui,KARLA NOEMI PEÑA QUIJADA,,cuentas por pagar,
karla.esparza,Karla Paola Esparza  Ramirez,,credito y cobranzas,
csckgomemor,KARLA VERONICA GOMEZ MORELOS,,activo fijo,
korina.zuniga,Korina Zuñiga Santana,,nominas nacional,
larisa.juarez,larisa Juarez Miranda,larisa.juarez@dummybimbo.com,activo fijo,
latziri.barajas,Latziri Aline Barajas Lopez,latziri.barajas@dummybimbo.com,compras,
csclcruzfer,LAURA CRUZ FERNANDEZ,,credito y cobranzas,
lgalisol,Laura Galindo Solorzano,laura.galindo@dummybimbo.com,credito y cobranzas,
laura.garcia03,Laura Leticia Garcia Almanza,laura.garcia03@dummybimbo.com,credito y cobranzas,
lsamasam,Laura Samano Samano,laura.samano@dummybimbo.com,nominas nacional,
lescocor,Laura Valeria Escobar Cordero,laura.escobar@dummybimbo.com,fiscal,
csclsouzfer,Layla  Cristina de Souza Ferreir,layla.souza@dummybimbo.com,nominas nacional,
leonardo.carmona,Leonardo Daniel Carmona Martinez,leonardo.carmona@dummybimbo.com,credito y cobranzas,
leonel.escobar,Leonel Escobar Escobar,,servicios de facturacion,
leslie.ojeda,leslie Ojeda Garcia,leslie Ojeda Garcia,fiscal,
csclchavvaz,LETICIA CHAVANA VAZQUEZ,,nominas nacional,
leticia.izquierdo,Leticia Izquierdo Rodriguez,leticia.izquierdo@dummybimbo.com,gestion corporativa,
lleontel,LETICIA LEON TELLEZ,leticia.leon02@dummybimbo.com,tesoreria,
csclsanjnar,LILIANA SAN JUAN NARANJO,,nominas nacional,
lbarrram,lissette Barrios Ramirez,lissette.barrios@dummybimbo.com,fiscal,
csclpadigon,LIZBETH PADILLA GONZALEZ,,credito y cobranzas,
csclaranjua,LIZETH VERONICA ARANDA JUAREZ,,credito y cobranzas,
csclcelsmar,LORENA CELSO MARAÑON,,servicios,
csclcordest,LORENA CORDERO ESTRADA,,credito y cobranzas,
lorena.javier,Lorena Imelda Javier Ruiz,lorena.javier@dummybimbo.com,servicios de facturacion,
lsandher,Lorena Sandoval Hernandez,lorena.sandoval@dummybimbo.com,fiscal,
csclromecar,LUCERO ROMERO CARRILLO,,credito y cobranzas,
luis.a.lopez,Luis Alberto Lopez Venegas,,activo fijo,
dbucilop,Luis David Bucio Lopez,david.bucio@dummybimbo.com,sistemas,
luis.d.guerra,Luis David guerra Chavez,luis.d.guerra@dummybimbo.com,gestion corporativa,
lgalvrob,Luis Fernando Galvan Robles,luis.galvan02@dummybimbo.com,fiscal,
luis.f.garcia,Luis Fernando Garcia  Legorreta,luis.f.garcia@dummybimbo.com,credito y cobranzas,
csclonofrui,lUIS MIGUEL ONOFRE RUIZ,luis.onofre@grupobimbmo.com,credito y cobranzas,
csclpenafaj,LUIS PEÑA FAJARDO,,nominas nacional,
lsanctor02,Luz Maria Sanchez Toribio,luz.sanchez02@dummybimbo.com,nominas nacional,
cscmrojaper,MAGNOLIA ROJAS PÉREZ,,activo fijo,
cscmlazcrom,MAIRA LAZCANO ROMERO,,bimbo 21,
manuel.orta,Manuel Orta Hermosillo,manuel.orta@dummybimbo.com,credito y cobranzas,
cscmsimodio,MANUEL SIMON DIONICIO,,fiscal,
cscmgalvsal,MARCELA GALVEZ SALAS,,activo fijo,
marco.cervantes01,Marco Antonio Cervantes Isidro,marco.cervantes01@dummybimbo.com,nominas nacional,
marco.a.cuevas,Marco Antonio Cuevas Benitez,marco.a.cuevas@dummybimbo.com,servicios de facturacion,
marco.figueroa,Marco Antonio Figueroa Piza,marco.figueroa@dummybimbo.com,cuentas por pagar,
marco.heredia,Marco Antonio Heredia Salas,marco.heredia@dummybimbo.com,activo fijo,
mzunilaz,MARCO ANTONIO ZUNIGA LAZCANO,marco.zuniga@dummybimbo.com,fiscal,
maria.f.hernandez,MAria  Fernanda Hernandez Cabrera,maria.f.hernandez@dummybimbo.com,compras,
maria.a.lopez,Maria Angelica Lopez Garcia,maria.a.lopez@dummybimbo.com,fiscal,
msancher,maria angelica sanchez hernandez,maria.sanchez07@dummybimbo.com,nominas nacional,
cscmhernlop,MARIA AZUCENA HERNANDEZ LOPEZ,,fiscal,
cscmnavacar,MARIA DE JESUS NAVA CARRANZA,,activo fijo,
maria.j.segura,Maria de Jesus Segura Rojas,maria.j.segura,credito y cobranzas,
mlopegar03,Maria de los Angeles  Lopez Garcia,maria.lopez05@dummybimbo.com,nominas nacional,
cscmcontran,MARIA DE LOS ANGELES CONTRERAS RANGEL,,nominas nacional,
cscmblasbar,MARIA DE LOS ANGELES DE BLAS BARRIENTOS,,credito y cobranzas,
bomovieher,MARIA DE LOURDES OVIEDO HERNANDEZ,maria.oviedo@dummybimbo.com,servicios,
carozfig,MARIA DEL CARMEN AROZENA FIGUEROA,carmen.arozena@dummybimbo.com,credito y cobranzas,
mvelarey,maria del carmen velazquez reyes,maria.velazquez01@dummybimbo.com,nominas nacional,
cscmortesot,Maria del Rocio Ortega Soto,rocio.ortega@dummybimbo.com,nominas nacional,
cscmaragper,MARIA GUADALUPE ARAGON PEREZ,,conciliaciones,
luz.guadalupe,Maria Guadalupe Monroy Luz,luz.guadalupe@dummybimbo.com,nominas nacional,
cscmanaylop,MARIA LUISA ANAYA LOPEZ,,activo fijo,
maria.perales,maria luisa perales olvera,maria.perales@dummybimbo.com,cuentas por pagar,
molgmur,maria Olgin Muro,maria.olguin@dummybimbo.com,credito y cobranzas,
cscmherngay,MARIANO HERNANDEZ GAYTAN,,nominas nacional,
